,,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2020-03-20,Communication Services,0.0019383401574284967,0.0024788879541559833,0.0012422364992578558,0.0029579643497490314,0.0022437222749993224,0.0016757306854530297,0.002179123293025285,0.0018269187486138622,0.0018555902239128432,0.0023309445084964396,0.001906301773053719
2020-03-20,Consumer Discretionary,0.0024788879541559833,0.00348698844973703,0.0016697592159942236,0.004164573306924529,0.003046812893750468,0.002175366695417512,0.002985117293630168,0.002408851543060772,0.0025555885237589903,0.0031971100342903292,0.0026724794676332682
2020-03-20,Consumer Staples,0.0012422364992578558,0.0016697592159942236,0.0011927828529471952,0.0019975070735467762,0.0015047507707782592,0.0012690632046754202,0.0014926142728638547,0.0012466560892145818,0.0014291080673700437,0.0017547380519119824,0.0016815105689814956
2020-03-20,Energy,0.0029579643497490314,0.004164573306924529,0.0019975070735467762,0.006149762963790134,0.003673156668656844,0.0025286312201796505,0.0035326805185656707,0.0028365886763679275,0.0033237327352984556,0.0033835630059269764,0.0030572992444010912
2020-03-20,Financials,0.0022437222749993224,0.003046812893750468,0.0015047507707782592,0.003673156668656844,0.0028354510424104203,0.0019917275125123065,0.002703952444739607,0.002176279053922688,0.0023221595708607604,0.002798277580181954,0.002321476706927022
2020-03-20,Health Care,0.0016757306854530297,0.002175366695417512,0.0012690632046754202,0.0025286312201796505,0.0019917275125123065,0.0017077388044232644,0.001968404827928534,0.0016699124802566677,0.0017228008394181958,0.0022401830498952596,0.0019021251148476268
2020-03-20,Industrials,0.002179123293025285,0.002985117293630168,0.0014926142728638547,0.0035326805185656707,0.002703952444739607,0.001968404827928534,0.002671670465838134,0.002157916334318768,0.00227375239018421,0.0028043267746337523,0.0023214861980443494
2020-03-20,Information Technology,0.0018269187486138622,0.002408851543060772,0.0012466560892145818,0.0028365886763679275,0.002176279053922688,0.0016699124802566677,0.002157916334318768,0.0018798863512967086,0.0018321458858162644,0.0022722954824270225,0.0018765453419492721
2020-03-20,Materials,0.0018555902239128432,0.0025555885237589903,0.0014291080673700437,0.0033237327352984556,0.0023221595708607604,0.0017228008394181958,0.00227375239018421,0.0018321458858162644,0.0022377780809704614,0.0022482105076725807,0.0020353342863933597
2020-03-20,Real Estate,0.0023309445084964396,0.0031971100342903292,0.0017547380519119824,0.0033835630059269764,0.002798277580181954,0.0022401830498952596,0.0028043267746337523,0.0022722954824270225,0.0022482105076725807,0.003595038797048103,0.0029652202489173474
2020-03-20,Utilities,0.001906301773053719,0.0026724794676332682,0.0016815105689814956,0.0030572992444010912,0.002321476706927022,0.0019021251148476268,0.0023214861980443494,0.0018765453419492721,0.0020353342863933597,0.0029652202489173474,0.002772339707576404
2020-03-27,Communication Services,0.002137253243221496,0.0030071329785059516,0.0014224345026497395,0.0033050742991154063,0.0026917464967363487,0.0019559588593363376,0.002616539320134422,0.0021850655855327047,0.0021271487425086185,0.0027913637684289254,0.002445681378406756
2020-03-27,Consumer Discretionary,0.0030071329785059516,0.004776407104114182,0.002125710011739436,0.005055820888961978,0.004149237396801706,0.0028782294072131824,0.0040600538812079635,0.0032940060315188114,0.0032398025713264856,0.004329711721525867,0.0039686826733499134
2020-03-27,Consumer Staples,0.0014224345026497395,0.002125710011739436,0.0013372826532184118,0.002305005727178859,0.001892568334481555,0.001507833851704567,0.0018700000266098902,0.0015560707960959996,0.0016602677474639531,0.00214620690184901,0.0021282578718248217
2020-03-27,Energy,0.0033050742991154063,0.005055820888961978,0.002305005727178859,0.006691119278570683,0.004432728484025079,0.0030123388067025605,0.0042755578304594045,0.003449671837934077,0.0037742425628140767,0.004180529500245016,0.003972678814911649
2020-03-27,Financials,0.0026917464967363487,0.004149237396801706,0.001892568334481555,0.004432728484025079,0.003771412811040203,0.002589046460960911,0.0036193356048429166,0.0029303556620183394,0.0029033247279060194,0.0037663611516892434,0.0034307536644604835
2020-03-27,Health Care,0.0019559588593363376,0.0028782294072131824,0.001507833851704567,0.0030123388067025605,0.002589046460960911,0.0020768828922020227,0.0025501330584976776,0.002146055728059279,0.002089008718332969,0.0028479225099314145,0.002602060823390679
2020-03-27,Industrials,0.002616539320134422,0.0040600538812079635,0.0018700000266098902,0.0042755578304594045,0.0036193356048429166,0.0025501330584976776,0.0035633526489452765,0.002892204931757263,0.0028403643407264637,0.0037458834011091825,0.003401447502433976
2020-03-27,Information Technology,0.0021850655855327047,0.0032940060315188114,0.0015560707960959996,0.003449671837934077,0.0029303556620183394,0.002146055728059279,0.002892204931757263,0.0024793680858657486,0.002299217072658941,0.0030473728373049246,0.0027653339211101903
